CPF,Nome,Idade,Sexo,Email,Nota do enem,Abandono,Semestre em que abandonou,CRA no segundo semestre,CRA no quarto semestre,CRA no sexto semestre
307.429.168-04,Davi Lucca Pires,28,M,valentinasilveira@example.org,704,True,7.0,5.958072879696852,7.253984644619653,5.152045983198447
067.152.483-62,Srta. Juliana Castro,19,F,xdias@example.org,657,True,4.0,8.941163094383292,,
836.972.145-19,Maitê Moura,18,F,lucca80@example.org,667,False,,5.769954053153363,5.051353114850713,6.800381768512835
392.547.810-88,Valentina Rodrigues,20,F,marina77@example.net,732,True,3.0,5.030157232484092,,
508.297.341-04,Ana Julia das Neves,21,F,da-luzlucas-gabriel@example.org,696,True,2.0,,,
984.205.673-29,Bárbara Pereira,23,F,luiz-miguelcorreia@example.net,651,False,,7.1552824018076,6.63821669479079,5.15360014893771
702.483.916-31,Pedro Silveira,24,M,joanamoraes@example.net,766,False,,6.536894184050335,7.96571172253922,8.769392647068667
071.859.462-20,Letícia Campos,22,F,rocharebeca@example.com,713,True,8.0,6.299321800056108,9.358886068124576,8.24999348849738
473.152.098-32,Ana Vitória Pires,24,F,tmendes@example.com,761,False,,9.748367716962802,7.120428184808359,6.499854089813401
627.015.439-16,Sr. Leandro Cardoso,21,M,arthurcosta@example.org,642,True,6.0,7.7273975504402195,5.494282662122715,
631.452.978-64,Dr. Nicolas da Mota,28,M,noahfogaca@example.net,672,True,5.0,8.951550396879785,8.111633597464829,
418.620.735-62,Nicolas da Conceição,18,M,nunesluigi@example.org,707,True,8.0,8.963902777075575,8.755716696687763,5.157643368404722
984.051.673-66,Cauê Souza,26,M,barbaracavalcanti@example.net,778,True,1.0,,,
279.653.418-91,Luana Campos,28,F,pintojulia@example.com,781,True,4.0,6.414672084395282,,
245.369.817-64,Ana Júlia Nunes,22,F,marcos-vinicius51@example.net,669,False,,7.85528936356902,8.288043383912314,7.611622934281481
146.980.352-60,Júlia Peixoto,23,F,sofiaferreira@example.net,747,False,,6.24272636260849,5.72234535758512,6.513579300907678
478.619.230-96,Breno Monteiro,27,M,bda-paz@example.net,797,True,2.0,,,
053.789.146-39,Thomas Fogaça,18,M,francisco29@example.net,690,True,1.0,,,
738.290.456-38,Maitê Cardoso,19,F,gabrielacarvalho@example.com,711,True,8.0,8.694390124712307,9.80432816388117,5.560525741377161
450.961.872-76,Henrique Fogaça,23,M,vianathales@example.com,712,True,2.0,,,
053.168.472-53,Natália Jesus,27,F,pcarvalho@example.com,765,True,3.0,5.215441664741926,,
789.652.341-82,Ana Clara Ramos,18,F,bruna65@example.com,678,False,,5.860910214214272,7.915515456674335,9.283132523928408
394.756.012-52,Srta. Rebeca Campos,25,F,bfarias@example.net,778,True,3.0,9.569041505513573,,
560.287.941-20,Sofia Porto,25,F,maria-fernanda26@example.org,749,True,6.0,5.02327352914452,5.213251245183381,
573.641.980-75,Luana Jesus,25,F,maria-alice09@example.net,709,True,8.0,8.925911258400193,5.241487902719924,7.318422249893992
325.648.791-28,Pietra Cavalcanti,27,F,cunhaerick@example.org,777,True,5.0,8.707945844450917,7.176236271601021,
042.586.793-56,Vitor Hugo Campos,28,M,luiz-gustavo37@example.com,741,True,2.0,,,
930.178.452-14,Lívia da Luz,24,F,alvesjoao-gabriel@example.org,709,True,2.0,,,
968.574.231-64,Sr. Breno Fernandes,23,M,thales73@example.com,752,False,,5.9808494611784875,8.695641782042944,6.44648788228823
907.251.834-97,Sra. Mirella Freitas,24,F,enzo-gabrielgomes@example.net,721,False,,5.452839604817486,8.587394392776808,7.813053649508396
542.863.791-91,Enzo Gabriel Lima,27,M,joao-vitormendes@example.net,733,True,5.0,7.616721822208416,7.514274461203068,
034.968.157-01,Juan Caldeira,22,M,nicole54@example.org,733,True,5.0,6.432709632769923,5.277986887755894,
905.216.473-80,Kaique da Rocha,28,M,caueramos@example.net,690,True,3.0,8.795623265393111,,
570.263.489-65,Sr. Vitor Hugo Porto,22,M,jaragao@example.com,704,False,,5.628434531314715,8.86840381699483,9.20021301203813
692.154.803-15,Leonardo Teixeira,19,M,brunomoraes@example.net,730,True,1.0,,,
398.571.204-23,Raquel Santos,22,F,amandalopes@example.org,771,True,1.0,,,
485.912.763-37,Maria Monteiro,19,F,raquel60@example.com,730,False,,8.56891209405751,8.753100076413851,8.390654638798352
846.370.219-87,Ana Laura Ramos,22,F,da-rochagabrielly@example.com,785,False,,6.241645066291351,7.2054463065060945,5.839715401429198
541.768.932-73,Maria Eduarda Teixeira,25,F,augusto70@example.org,754,True,3.0,5.442615244774363,,
698.231.407-31,Felipe Pires,20,M,renan25@example.com,794,True,7.0,7.167834338096773,5.298470726310511,9.216898132096247
985.241.730-41,Rebeca Monteiro,18,F,clara66@example.org,679,True,3.0,5.253049083572104,,
254.063.781-71,Eduarda Moreira,23,F,vitor-gabrielnunes@example.net,724,False,,6.502922973757158,6.045875591078184,7.964849148483108
832.094.567-47,Brenda da Conceição,18,F,cardosomirella@example.org,698,True,1.0,,,
625.071.349-25,Marcela Freitas,22,F,erick77@example.net,651,True,7.0,6.718588205060996,5.2592577462036765,6.801541905671059
824.370.956-83,Gabrielly Costela,23,F,davi-luiz93@example.net,731,False,,7.6035631625566875,8.87273591301923,8.032166367139032
627.035.814-08,Alice Ribeiro,27,F,tda-rocha@example.com,778,False,,6.421648477173218,5.193164730085417,5.661119288039443
942.873.106-40,Rafael Cardoso,23,M,sda-cunha@example.net,789,False,,5.081524770631089,9.262355807487408,6.799754546708963
879.146.523-00,Sophia Ribeiro,18,F,vianaisabelly@example.net,660,True,3.0,9.880930712229649,,
186.534.097-93,Luigi Gomes,28,M,mda-mota@example.com,718,True,2.0,,,
987.201.643-78,Sra. Maria Eduarda Dias,19,F,limaluiz-otavio@example.com,686,False,,8.507836975063825,6.607023115309649,6.790842424532287
463.759.201-16,Pietra da Cunha,28,F,nascimentoana-beatriz@example.net,776,True,3.0,6.306799454787129,,
247.051.963-25,Gabriel Almeida,24,M,zfernandes@example.net,741,True,3.0,7.523062162865277,,
781.962.350-03,Ana Beatriz da Rocha,18,F,manuelaalves@example.com,684,False,,8.921970299148562,7.353256792354122,6.91317353099098
832.691.475-46,Alana Monteiro,18,F,elisaaraujo@example.com,783,False,,7.190048625534253,9.323048089444097,7.743554347021043
479.165.082-49,Dra. Isadora da Paz,23,F,correialavinia@example.com,797,True,5.0,9.841818765413745,7.523820056787203,
065.794.138-75,Natália Freitas,27,F,araujojoao-pedro@example.com,794,False,,8.163972566582938,9.260234576958872,5.692883983592719
298.530.761-95,Amanda Lima,22,F,ramosgabrielly@example.org,768,False,,7.608006837363039,8.369908050750485,8.979685608786241
957.481.032-14,Isabelly da Luz,27,F,bgoncalves@example.net,689,True,6.0,6.290450366957884,6.895852174394645,
495.608.123-51,Nathan Silveira,19,M,amoreira@example.net,673,False,,8.99165406047107,7.9625553224039765,5.455917858838465
712.935.406-25,Vinicius Pereira,25,M,ramosalicia@example.org,760,True,8.0,5.792420618927297,8.885510723270546,8.17217381611373
816.530.792-40,Isaac Pereira,22,M,vinicius94@example.com,683,False,,5.147950720734222,5.272979478494611,6.106086779751921
134.976.825-19,Pedro Miguel da Paz,20,M,duarteanthony@example.com,730,True,5.0,9.609121356081555,5.355905927562546,
148.290.536-15,Sra. Amanda Lopes,20,F,yasmincardoso@example.org,643,True,8.0,6.838287820104835,7.399655351460399,7.257867177922782
830.456.792-00,Maysa da Rosa,28,F,ilopes@example.net,753,True,7.0,7.090295927508424,7.432803499030734,6.493243966427352
930.285.647-00,Bernardo Novaes,18,M,jmoura@example.org,667,False,,8.1979802047732,9.056225772932837,9.958079507382623
281.670.534-07,Isabelly Sales,21,F,danielamoreira@example.org,751,True,2.0,,,
602.789.345-10,Lucas Martins,21,M,brenda73@example.com,765,False,,7.0927752124843595,6.458580177244287,5.237619970384582
892.016.354-51,Maria Clara Rezende,19,F,eduardamartins@example.net,784,False,,7.584603595738235,9.037796038082544,6.446827699738711
023.164.879-04,Giovanna da Cruz,24,F,lucas-gabrielda-rocha@example.net,688,True,8.0,9.749495451806158,5.235866359553814,9.94348848257706
861.043.729-96,Ian Ramos,25,M,scosta@example.org,729,True,4.0,6.302019092750128,,
150.432.897-32,Kaique Azevedo,23,M,luiz-fernando04@example.net,719,False,,9.274617595852877,7.348482317573593,9.230013196812289
084.675.932-29,Pedro Miguel das Neves,19,M,luigida-mota@example.net,700,True,3.0,5.174916922044678,,
231.870.945-97,Sra. Eduarda Moura,23,F,sfarias@example.com,687,False,,8.527249680482605,7.02781086828371,9.593915451622074
718.406.593-00,Carolina Pinto,27,F,felipe37@example.org,755,True,8.0,8.059507577843306,5.7416052284833,6.752293770154856
387.514.602-62,Lívia Nascimento,19,F,lunafarias@example.com,772,True,4.0,8.877077904724226,,
203.517.894-05,Enrico Araújo,28,M,da-conceicaovitor-gabriel@example.com,743,False,,8.871073747084965,7.91883193719552,5.883237487850737
512.086.734-08,Carolina Lopes,27,F,pedro-miguelcunha@example.com,640,True,5.0,6.759552606292103,6.6543154801879725,
582.370.914-50,Maria Cecília Farias,19,F,enricoalves@example.com,723,True,7.0,5.490475916383289,6.096951865674474,8.891705329861546
910.357.468-75,Ana da Paz,23,F,ndias@example.org,738,False,,8.05316362260694,8.939332149123025,5.9752769064149565
719.026.345-43,Cauê Castro,24,M,maria-vitoriafernandes@example.org,707,False,,7.165170574525481,6.959073399490222,7.936021198881603
086.972.145-30,Alana da Rocha,20,F,liviaazevedo@example.org,736,False,,5.277339007445385,6.114796267913911,5.1601069080573705
219.360.487-87,Ana Clara da Conceição,23,F,nascimentoeduarda@example.com,686,False,,6.035997067229459,7.318652295774148,6.705104857933907
160.387.294-96,Luiz Miguel Silveira,26,M,gpereira@example.net,667,True,1.0,,,
935.412.876-91,Sr. Joaquim Barros,20,M,monteirolucas@example.net,692,True,6.0,5.175512160008228,8.499763932799286,
317.428.596-82,Lucas Gabriel Castro,18,M,breno99@example.com,659,False,,5.6074911511097945,8.938126283279068,7.553811886487502
824.319.076-78,Melissa Araújo,26,F,qoliveira@example.com,761,True,5.0,5.135255215664614,6.611999232031792,
863.245.719-55,Elisa da Rosa,23,F,ifogaca@example.net,717,True,7.0,6.55492437635526,8.000214763643102,7.222693515646692
315.786.029-12,Agatha Rocha,22,F,almeidavitoria@example.com,751,True,7.0,8.251143749485866,8.283954469415281,8.149874867737475
240.359.618-33,Alexandre Pereira,22,M,iazevedo@example.com,792,False,,7.923241317423137,9.319938650698814,5.601705163305165
597.642.108-30,Dr. Diogo Freitas,22,M,kgoncalves@example.net,691,True,6.0,5.244422630342106,5.259002527585814,
673.915.028-12,Guilherme Nunes,20,M,costavinicius@example.org,785,True,2.0,,,
714.025.983-60,Carlos Eduardo Rodrigues,28,M,caue22@example.com,753,False,,8.770575206034216,9.17505371762617,6.010534654053689
187.652.403-08,Camila da Mota,21,F,ferreiraarthur@example.org,659,False,,6.904500983155186,9.151175221879644,7.05031884820694
941.623.508-33,Vitor Martins,24,M,santosbenjamin@example.com,761,False,,5.773132339842464,6.648106901539292,6.9012921460561465
495.820.167-01,Ana Vitória da Mota,22,F,azevedopaulo@example.com,712,True,4.0,7.9502431994572484,,
915.870.246-67,Evelyn da Luz,22,F,joaquimrocha@example.com,723,False,,8.816047411002094,8.94710261951257,8.62095075531228
759.481.032-50,Antônio Ramos,22,M,vfreitas@example.org,686,False,,6.860995618634979,7.807338072085786,9.625854619596296
243.568.109-70,Ana Beatriz Rezende,20,F,fernando27@example.net,657,True,6.0,7.158682998281828,6.445667199888905,
761.503.892-86,Maria Julia Pereira,26,F,ana-laura97@example.com,702,True,7.0,7.305584837617651,7.68268328821277,9.598306903514851
147.506.329-61,Eloah da Mata,25,F,freitasnicolas@example.org,667,False,,5.283915700807803,6.292283028984406,5.194500671892465
460.537.182-62,Alana Oliveira,21,F,yurinovaes@example.com,777,False,,7.333015388351448,9.023835557315323,6.594840795861573
935.214.860-60,João Vitor Almeida,26,M,anthonyjesus@example.net,683,False,,6.034709197373721,7.423253892491099,9.779891095121531
534.279.801-97,Clara Aragão,27,F,scastro@example.com,654,False,,6.159961332717149,6.641295038571019,5.000686728129207
679.128.403-03,Benício Farias,28,M,agoncalves@example.net,727,False,,5.838298766948811,8.744357700457646,7.4810612980620395
540.912.876-11,Sra. Sophie Moreira,22,F,maria-luizacardoso@example.net,754,False,,9.152072191236826,5.029817620505591,5.343798598782249
364.870.259-92,Yago Lima,20,M,nogueirapietra@example.net,672,False,,7.329031947174768,5.582787130230588,7.719741090757747
530.276.819-40,Yasmin da Cunha,24,F,pedro-lucas43@example.com,742,False,,9.869999834635944,5.816242250806791,8.005913720199775
749.860.352-74,Catarina da Cunha,22,F,odias@example.net,692,False,,8.180196101932289,6.657544163191059,7.200178066344298
416.058.937-57,Henrique Martins,19,M,luigi30@example.com,770,False,,9.948288263544256,7.565218043470304,7.713543360861191
845.173.096-57,Bianca Barros,23,F,felipecampos@example.org,701,False,,8.366106284405701,5.193943767107112,9.006394061644816
653.178.942-55,Erick da Cruz,27,M,eduarda16@example.net,799,True,8.0,7.913869697727627,7.428598699330032,6.53062436035963
615.847.029-58,Enzo Sales,20,M,lorenzo47@example.com,652,False,,6.388991427849303,6.686738112758886,5.81234955249055
283.507.194-60,Valentina Nascimento,25,F,ana-julia71@example.com,653,True,2.0,,,
567.392.401-16,Carlos Eduardo Pereira,27,M,santosstella@example.net,773,False,,8.465851101953014,9.542534192648864,7.98988715000422
476.038.521-53,João Pedro Ramos,22,M,luiz-gustavoviana@example.net,666,False,,5.94211544035507,5.5168175344197055,8.559693507420457
309.758.124-32,Isabelly da Luz,25,F,pereiraaugusto@example.net,754,True,5.0,7.12957757714425,8.121348346062854,
658.934.271-73,Augusto Martins,27,M,joanaaraujo@example.org,746,False,,8.958229517090338,7.179308781489503,8.497198867545826
809.675.134-48,João Vitor Peixoto,21,M,ninada-rocha@example.com,650,True,7.0,8.954973706966406,9.47408106230416,5.140857493276204
804.623.957-74,Caio Santos,27,M,isaacazevedo@example.org,725,False,,7.029211857570781,7.859274706678643,7.7059661917409015
456.239.107-34,Pietra da Costa,23,F,maria-juliaribeiro@example.net,732,False,,6.365674469062546,8.380800223004076,9.321337260900334
249.873.016-87,Davi Lucca da Paz,21,M,ferreirafernanda@example.com,743,True,5.0,5.58407460935378,6.874775974628754,
638.712.045-44,Dr. Davi Luiz Pereira,20,M,ada-mata@example.org,795,True,6.0,6.583103590152393,8.874623575545515,
954.601.273-43,Dra. Ana Clara da Cunha,27,F,evelyn20@example.org,730,False,,9.26164023696337,8.856846260332386,6.430976419040594
012.364.859-98,Laís Cardoso,20,F,ferreirapedro-miguel@example.net,792,False,,5.450317872238254,9.769035096632788,5.668510957849669
734.265.189-37,Gustavo Henrique Campos,18,M,mourasophia@example.org,688,False,,6.02087480002655,7.1233942826308,5.831599661237587
107.823.594-50,Ana Lívia Peixoto,28,F,maria-luizavieira@example.com,702,False,,9.118385593968064,7.608677550825153,7.540200765008555
751.049.283-14,Juan Cardoso,19,M,thomas26@example.org,684,False,,9.786504456739896,5.64309704554835,8.226037424297354
345.780.162-26,Srta. Yasmin Alves,25,F,lais30@example.net,651,True,7.0,7.038706725321427,9.54294350455271,8.854783595612354
691.480.723-03,Breno Costela,24,M,rmartins@example.net,658,True,2.0,,,
037.985.412-05,Lucca Costela,24,M,mirellamelo@example.com,762,False,,6.0784160889926575,8.32327118498418,5.958799067959095
620.981.473-50,Leandro da Paz,25,M,novaesjoao@example.net,705,True,3.0,7.124700143616209,,
523.471.698-82,Sra. Camila da Cunha,21,F,camposana-clara@example.com,737,False,,5.682108469708236,7.2507571844138905,8.515514134424807
564.821.709-94,João Guilherme da Cunha,27,M,enricoribeiro@example.com,669,True,3.0,5.500819718566316,,
658.091.472-67,Ana Clara Lopes,19,F,pedro-miguel84@example.com,668,False,,7.333675527003537,5.8923326138520595,6.7118505095713
048.916.237-13,Dr. Enrico Silveira,19,M,da-matakaique@example.net,726,False,,7.147799889016399,7.626612678876512,6.0161936261399145
170.269.483-69,Benício Pereira,23,M,tlopes@example.org,795,False,,6.464495164856608,5.165394027165755,9.227182437324107
309.127.654-61,Bruna Vieira,21,F,milenada-cunha@example.net,671,True,4.0,9.74406630945459,,
953.418.627-91,Stephany Cunha,24,F,felipe35@example.net,749,True,5.0,8.35964088820116,8.957433285814538,
185.726.394-46,Matheus Campos,22,M,pcardoso@example.com,725,False,,7.879708052917293,5.73770027472923,8.803932612079334
052.968.314-89,Srta. Isabella Cunha,26,F,gporto@example.org,747,True,6.0,8.71834978543579,6.828357877706407,
620.439.518-15,Júlia da Cruz,24,F,marcos-vinicius60@example.com,656,True,5.0,7.244105050092655,7.311014035529335,
049.517.823-32,Enzo Gabriel Porto,22,M,marcos-vinicius71@example.net,720,True,4.0,7.537208375779722,,
986.430.715-01,Ryan Melo,28,M,luccacosta@example.org,689,True,4.0,5.605874956348109,,
243.509.168-06,Maria Clara Peixoto,27,F,mmoreira@example.com,705,False,,9.745991081975362,7.451520198329261,5.313311980168835
184.653.907-20,Lucas Cunha,26,M,davi-lucas81@example.net,662,False,,9.479733884521705,5.87685734291224,8.500054113568876
125.047.698-49,Lara Sales,20,F,ana-clarasilveira@example.com,674,True,7.0,5.813241856323766,7.236161179494459,7.491281257394254
863.219.457-73,Sra. Lavínia Rodrigues,22,F,wfreitas@example.net,699,False,,9.88689994506148,9.94685408151664,6.132704879722984
275.106.839-12,Enzo Gabriel Aragão,19,M,cgomes@example.com,709,True,3.0,6.3819038735663245,,
216.805.739-77,Gabrielly Vieira,26,F,da-costagabriel@example.org,796,False,,6.156096163136976,7.778615541775355,5.7306220254820275
379.465.218-55,Ana da Rocha,24,F,fariasyasmin@example.net,696,False,,8.764439901633486,8.330355737436381,6.194052052411092
254.036.817-44,Luiz Miguel da Cruz,18,M,camposlivia@example.org,694,False,,5.763644304146082,8.551039636777578,5.238639975555968
915.406.237-34,Vitor Hugo Melo,24,M,marianacorreia@example.org,791,False,,9.954708596741526,7.448035281048753,7.196688796570725
067.128.953-59,Gabriela Farias,28,F,ana-beatriz12@example.com,756,False,,6.658949455554991,9.910747390121953,6.572115731369754
591.286.403-06,André Cavalcanti,20,M,gustavo12@example.org,656,True,5.0,9.565997914523189,8.176807460659195,
610.543.879-66,Dr. Augusto Pinto,20,M,ana05@example.net,782,False,,8.521240246365476,8.379238556686557,5.792928938688864
359.612.047-07,Luna Costela,28,F,barbara15@example.net,672,False,,6.290886655884687,6.047281016867433,5.010848491068181
851.347.609-93,Sra. Rebeca Nunes,19,F,uviana@example.net,728,True,7.0,6.553366751821632,9.589650455941115,6.610247543568356
413.789.206-78,Elisa Silva,18,F,correiaana-carolina@example.com,767,True,5.0,9.257701578596828,5.6939181074356195,
569.321.470-25,Srta. Júlia Mendes,27,F,theocunha@example.org,687,True,7.0,9.13630035018558,6.618044094791365,7.644340009176375
216.738.540-44,Danilo Fernandes,25,M,csantos@example.com,683,True,6.0,8.065192644666991,7.281584316361993,
862.741.509-94,Amanda Mendes,25,F,ian70@example.com,720,True,4.0,7.196213156588536,,
301.875.964-84,Yasmin Nascimento,21,F,tcosta@example.com,741,True,8.0,6.466746645739984,8.710308449599573,5.779177772126548
431.598.260-15,Heitor Oliveira,28,M,ada-conceicao@example.org,680,True,2.0,,,
184.267.590-76,Sr. Felipe Porto,19,M,fcampos@example.com,757,True,4.0,9.25590616187408,,
597.208.436-83,Alana Rodrigues,20,F,ogomes@example.net,783,False,,9.832032187437964,5.391512955449073,7.254528968660089
219.387.504-97,Isabella Nascimento,24,F,mfreitas@example.org,765,True,5.0,5.104034173378439,9.810653646189415,
719.582.364-46,Eduardo Jesus,20,M,martinseduardo@example.net,648,False,,9.25648691092019,8.250266016743183,8.085881090426925
415.627.083-17,Enzo Gabriel Viana,24,M,sferreira@example.org,760,False,,6.118295039495203,8.993952507017646,5.486217010211884
370.921.468-87,Benício Aragão,23,M,gustavocampos@example.net,735,True,1.0,,,
534.078.619-66,Sra. Gabrielly Aragão,23,F,mendesana-laura@example.com,755,False,,6.123713959656781,9.409991387477447,9.539461926958726
610.423.579-43,Eloah Nascimento,21,F,joaquim48@example.net,738,True,2.0,,,
530.187.694-57,Sarah Costa,22,F,iporto@example.net,707,True,2.0,,,
756.340.829-00,Dr. Caio Castro,27,M,sophie58@example.com,705,True,8.0,5.947191308304346,8.517438054636381,5.424724578547644
423.718.950-32,Marina da Mota,26,F,marina56@example.com,773,False,,6.139877006855019,5.441728022726854,8.802233303522517
271.843.695-64,Laís da Costa,24,F,ryan35@example.org,668,False,,9.661418802473559,7.671446501109613,5.787618364790329
917.023.568-68,Ana Campos,19,F,beniciofreitas@example.com,800,False,,9.179862650796935,6.006884820596403,5.0360744291566055
876.392.105-77,Vitória Souza,21,F,goncalvesdavi-lucca@example.org,750,False,,6.360486654427545,6.352671903699475,5.7811084302593105
284.367.159-00,Luiz Otávio Souza,27,M,nina49@example.org,684,True,3.0,7.909091631331202,,
562.089.731-12,Heloísa Correia,21,F,mourafernanda@example.net,750,False,,9.521901735781311,7.009187044982008,5.415456566586741
613.407.958-84,Ana Sophia Ribeiro,24,F,davi-luccaribeiro@example.com,718,True,7.0,8.179356780532109,6.451945327642927,8.043244985573166
150.243.879-88,Sr. André Araújo,28,M,nmartins@example.com,800,True,8.0,5.805733087090827,7.156652463734643,8.045387414753806
915.426.380-89,Brenda Carvalho,26,F,enrico44@example.net,708,False,,6.9667333515847805,7.133030273455454,8.171691521285606
537.219.406-52,Antônio Freitas,23,M,vda-luz@example.org,719,True,2.0,,,
397.614.582-37,Vitor Hugo Rezende,22,M,diogo35@example.net,648,True,8.0,8.203788078518606,7.416678704080609,6.22711310856114
140.536.928-06,Rodrigo Cunha,22,M,hazevedo@example.net,724,True,2.0,,,
320.894.175-79,Miguel Azevedo,26,M,nteixeira@example.net,786,True,2.0,,,
936.541.208-06,Caio Cardoso,20,M,larissa09@example.net,765,False,,6.87085096554033,6.261866963514466,9.375746162415158
238.947.106-40,Henrique da Costa,28,M,cnovaes@example.org,727,True,2.0,,,
209.687.453-00,Thomas Aragão,25,M,lucca15@example.com,749,False,,7.701056908389177,5.246224743378981,8.87874432391861
605.983.172-95,Davi Lucca Nascimento,20,M,nathanvieira@example.com,677,False,,8.312582410741603,6.678912363068929,6.304324590431412
208.475.691-01,Luiz Felipe Teixeira,24,M,cardosotheo@example.com,800,False,,8.042369092193924,8.473851573628679,5.588236401780629
904.856.317-84,Valentina Castro,27,F,guilhermecaldeira@example.net,699,False,,8.661814373794762,6.7164469513122045,9.534507748920339
503.976.812-59,Heloísa Viana,21,F,mmelo@example.com,706,False,,9.975774869925317,5.594922465833639,5.177624513957802
042.196.587-85,Joana Lima,27,F,monteiropaulo@example.org,689,True,7.0,8.762554095429307,7.417773464759653,8.995886001910097
867.593.410-66,Sra. Isis da Cunha,23,F,caue65@example.net,776,False,,6.64614372935244,6.522129357746795,6.150323588270004
198.572.430-88,Srta. Maysa da Paz,24,F,pedroda-cruz@example.org,733,False,,5.519640675952879,6.481030238157953,7.796732670476885
487.601.932-04,Sra. Mirella Moraes,26,F,da-rosasophie@example.net,722,True,4.0,9.575942969926551,,
987.125.430-04,João Peixoto,19,M,isabel59@example.org,735,True,7.0,8.958543738539625,9.769380284995854,9.281426976036304
178.425.936-55,Pietro Fernandes,19,M,marcela12@example.com,699,False,,5.0944303064966,5.638906745289144,8.587354765464985
984.730.651-66,Luiz Felipe Pires,23,M,vianacalebe@example.com,769,False,,7.879152233131093,9.937573952547998,7.3578674937439486
945.072.618-30,Valentina Monteiro,19,F,da-luzjulia@example.net,695,False,,8.132139835005677,5.055859564232993,7.8462415987873815
986.342.057-38,Sr. João Miguel Fernandes,23,M,nathangoncalves@example.net,648,False,,5.339579218552827,7.382084378444346,7.198091856695726
693.025.178-02,Heitor Moreira,24,M,juliacavalcanti@example.net,672,False,,8.275600399724858,8.554923700964187,5.773574427065372
590.164.832-33,Ana Lívia Moreira,23,F,noahfreitas@example.net,642,False,,6.903672916831853,5.362369083725959,7.480548013642817
837.290.541-04,Mariane Farias,26,F,ovieira@example.org,784,False,,5.221432272762966,6.451082534893434,6.428577720974875
694.218.035-15,Felipe Silva,22,M,mourabenjamin@example.net,721,True,3.0,5.674427083029664,,
257.318.649-00,Evelyn Jesus,19,F,costelamaria-vitoria@example.com,753,False,,7.528321579650026,8.930304821438803,5.898476712105565
621.795.803-12,Diego da Mata,26,M,benjaminferreira@example.com,730,True,1.0,,,
762.018.954-85,Bruno Lopes,24,M,leticiamelo@example.org,691,False,,7.926412759659769,8.266461282854165,5.063291299337619
703.921.856-95,Ana Julia Silva,27,F,kaiquejesus@example.net,739,False,,5.939488667363165,7.642746519256512,9.522968807741693
732.451.098-14,Gabriel Jesus,28,M,araujopaulo@example.net,731,True,8.0,9.090037589237859,7.0396926238547675,6.50467624174865
732.940.165-06,Srta. Larissa da Rosa,20,F,thomas82@example.net,689,True,1.0,,,
613.847.295-00,Calebe Rocha,23,M,xpeixoto@example.com,648,False,,7.057779307896016,8.309993062682324,9.184699363525397
458.309.172-97,Ana Souza,22,F,martinsyago@example.org,692,False,,9.88244106954842,5.955862035510453,8.489047334079416
320.967.481-78,Srta. Lavínia Cavalcanti,28,F,maria-eduardasilva@example.com,737,True,1.0,,,
759.640.318-20,Davi Mendes,21,M,ramosalicia@example.net,717,True,5.0,8.698825825205983,5.538912340268828,
453.297.608-10,Vitor Hugo Ferreira,26,M,yagopinto@example.com,681,True,6.0,9.40597920169187,8.418463753033565,
953.187.064-01,Srta. Camila Cunha,20,F,lavinia86@example.org,716,True,1.0,,,
095.712.834-79,Felipe Caldeira,27,M,mourabrenda@example.net,666,False,,9.633637991454936,5.369994908893343,5.152794211083701
932.714.865-73,Luiz Henrique Fogaça,28,M,stelladias@example.net,785,False,,9.81589134403094,9.964710824980953,7.319852380869624
903.245.781-05,Dr. Breno Oliveira,19,M,pdas-neves@example.net,654,True,3.0,6.133110105674788,,
946.803.172-13,Clarice Rodrigues,18,F,ana-julianogueira@example.com,731,False,,6.9252376971782414,5.021436587371941,9.225350209296113
025.986.341-60,Pedro Lucas Ramos,23,M,mendesdiego@example.org,765,True,3.0,7.259506403450551,,
701.395.426-80,Olivia Rezende,21,F,vmelo@example.org,656,False,,7.69671366296586,7.010168513146104,8.66006164912859
914.865.307-10,Brenda Nunes,22,F,kazevedo@example.com,776,False,,8.157274358928667,9.53746522757995,9.86665457634669
061.739.528-40,Maria Fernanda Rodrigues,18,F,ycardoso@example.org,770,True,4.0,9.825725925834663,,
945.287.301-97,Sr. João Vitor Novaes,22,M,da-paznathan@example.org,772,True,7.0,8.342470196698619,8.774514914171737,5.919488244682885
174.926.580-01,Nathan Fernandes,24,M,thalesdias@example.org,727,True,4.0,9.981889674236555,,
210.938.457-32,Juliana Rocha,25,F,luccapereira@example.net,787,False,,5.431128787776652,9.259653965562833,9.879814030265797
784.213.609-22,Milena Freitas,26,F,davi-lucca26@example.org,721,True,5.0,7.284285833913026,5.846883311484148,
157.289.364-82,Maysa Alves,25,F,teixeiralucas-gabriel@example.net,654,False,,7.830665904438843,7.807463849757298,7.558729681201223
240.975.638-74,Rafael Silveira,19,M,da-conceicaoisabella@example.net,790,False,,9.281486729263303,5.961648776231266,8.358849329364782
298.506.147-49,Alícia Pinto,18,F,zda-cruz@example.org,775,True,7.0,5.331235447948783,7.04515496997228,8.490545626133919
025.873.914-23,Yuri Monteiro,27,M,laiscorreia@example.com,731,False,,7.539195877978283,8.967626950770658,8.947068628364494
362.791.408-22,Breno Cardoso,23,M,coliveira@example.org,722,False,,9.363866420150828,9.516434128186717,9.79009908905098
851.962.347-64,Dra. Marina Teixeira,25,F,ferreiranathan@example.net,644,True,4.0,5.59829377991898,,
